"","lemma_morphit","form_1ps_ind","formfreq_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","formfreq_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","formfreq_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","formfreq_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf","fonroot_noinc_1ps_ind"
"15","abbronzare","abbronzo",53,"abbronzo","abbronz","-","are","abbronz","-","abbronza",167,"abbronza","abbronz","-","abbronziamo",8,"abbronziamo","abbronz","-","abbronzi",24,"abbronzi","abbronz","-",0,1,"-"
"16","abbuffare","abbuffo",39,"abbuffo","abbuff","-","are","abbuff","-","abbuffa",84,"abbuffa","abbuff","-","abbuffiamo",33,"abbuffiamo","abbuff","-","abbuffi",21,"abbuffi","abbuff","-",0,1,"-"
"17","abdicare","abdico",21,"abdiko","abdik","k","are","abdik","k","abdica",375,"abdika","abdik","k","abdichiamo",18,"abdikiamo","abdik","k","abdichi",57,"abdiki","abdik","k",0,1,"-"
"18","abilitare","abilito",96,"abilito","abilit","-","are","abilit","-","abilita",2894,"abilita","abilit","-","abilitiamo",42,"abilitiamo","abilit","-","abiliti",365,"abiliti","abilit","-",0,1,"-"
"19","abitare","abito",4728,"abito","abit","-","are","abit","-","abita",14291,"abita","abit","-","abitiamo",1245,"abitiamo","abit","-","abiti",440,"abiti","abit","-",0,1,"-"
"20","abituare","abituo",75,"abituo","abitu","-","are","abitu","-","abitua",1544,"abitua","abitu","-","abituiamo",130,"abituiamo","abitu","-","abitui",461,"abitui","abitu","-",0,1,"-"
"21","abrogare","abrogo",6,"abrogo","abrog","g","are","abrog","g","abroga",2120,"abroga","abrog","g","abroghiamo",52,"abrogiamo","abrog","g","abroghi",100,"abrogi","abrog","g",0,1,"-"
"22","abusare","abuso",170,"abuso","abus","-","are","abus","-","abusa",1232,"abusa","abus","-","abusiamo",62,"abusiamo","abus","-","abusi",410,"abusi","abus","-",0,1,"-"
"23","accalorare","accaloro",19,"akkaloro","akkalor","-","are","akkalor","-","accalora",159,"akkalora","akkalor","-","accaloriamo",3,"akkaloriamo","akkalor","-","accalori",8,"akkalori","akkalor","-",0,1,"-"
"24","accampare","accampo",31,"akkampo","akkamp","-","are","akkamp","-","accampa",292,"akkampa","akkamp","-","accampiamo",57,"akkampiamo","akkamp","-","accampi",24,"akkampi","akkamp","-",0,1,"-"
"25","accantonare","accantono",35,"akkantono","akkanton","-","are","akkanton","-","accantona",463,"akkantona","akkanton","-","accantoniamo",81,"akkantoniamo","akkanton","-","accantoni",50,"akkantoni","akkanton","-",0,1,"-"
"26","accaparrare","accaparro",14,"akkaparro","akkaparr","-","are","akkaparr","-","accaparra",129,"akkaparra","akkaparr","-","accaparriamo",15,"akkaparriamo","akkaparr","-","accaparri",9,"akkaparri","akkaparr","-",0,1,"-"
"27","accapigliare","accapiglio",5,"akkapiLLo","akkapiLL","LL","are","akkapiLL","LL","accapiglia",101,"akkapiLLa","akkapiLL","LL","accapigliamo",28,"akkapiLLamo","akkapiLL","LL","accapigli",9,"akkapiLLi","akkapiLL","LL",0,1,"-"
"28","accarezzare","accarezzo",413,"akkarezzo","akkarezz","-","are","akkarezz","-","accarezza",2540,"akkarezza","akkarezz","-","accarezziamo",36,"akkarezziamo","akkarezz","-","accarezzi",319,"akkarezzi","akkarezz","-",0,1,"-"
"29","accasare","accaso",6,"akkaso","akkas","-","are","akkas","-","accasa",80,"akkasa","akkas","-","accasiamo",4,"akkasiamo","akkas","-","accasi",9,"akkasi","akkas","-",0,1,"-"
"30","accecare","acceco",9,"attSeko","attSek","k","are","attSek","k","acceca",622,"attSeka","attSek","k","accechiamo",12,"attSekiamo","attSek","k","accechi",58,"attSeki","attSek","k",0,1,"-"
"31","accelerare","accelero",134,"attSelero","attSeler","-","are","attSeler","-","accelera",2648,"attSelera","attSeler","-","acceleriamo",65,"attSeleriamo","attSeler","-","acceleri",312,"attSeleri","attSeler","-",0,1,"-"
"32","accennare","accenno",161,"attSenno","attSenn","-","are","attSenn","-","accenna",5449,"attSenna","attSenn","-","accenniamo",180,"attSenniamo","attSenn","-","accenni",1843,"attSenni","attSenn","-",0,1,"-"
"33","accentrare","accentro",7,"attSentro","attSentr","-","are","attSentr","-","accentra",463,"attSentra","attSentr","-","accentriamo",4,"attSentriamo","attSentr","-","accentri",24,"attSentri","attSentr","-",0,1,"-"
"34","accentuare","accentuo",12,"attSentuo","attSentu","-","are","attSentu","-","accentua",3302,"attSentua","attSentu","-","accentuiamo",12,"attSentuiamo","attSentu","-","accentui",188,"attSentui","attSentu","-",0,1,"-"
"35","accertare","accerto",89,"attSerto","attSert","-","are","attSert","-","accerta",5446,"attSerta","attSert","-","accertiamo",116,"attSertiamo","attSert","-","accerti",3123,"attSerti","attSert","-",0,1,"-"
"36","accettare","accetto",5181,"attSetto","attSett","-","are","attSett","-","accetta",21072,"attSetta","attSett","-","accettiamo",3431,"attSettiamo","attSett","-","accetti",5603,"attSetti","attSett","-",0,1,"-"
"37","acchiappare","acchiappo",139,"akkiappo","akkiapp","-","are","akkiapp","-","acchiappa",455,"akkiappa","akkiapp","-","acchiappiamo",9,"akkiappiamo","akkiapp","-","acchiappi",76,"akkiappi","akkiapp","-",0,1,"-"
"38","accodare","accodo",575,"akkodo","akkod","-","are","akkod","-","accoda",346,"akkoda","akkod","-","accodiamo",56,"akkodiamo","akkod","-","accodi",62,"akkodi","akkod","-",0,1,"-"
"39","accollare","accollo",761,"akkollo","akkoll","-","are","akkoll","-","accolla",321,"akkolla","akkoll","-","accolliamo",20,"akkolliamo","akkoll","-","accolli",141,"akkolli","akkoll","-",0,1,"-"
"40","accomiatare","accomiato",14,"akkomiato","akkomiat","-","are","akkomiat","-","accomiata",75,"akkomiata","akkomiat","-","accomiatiamo",18,"akkomiatiamo","akkomiat","-","accomiati",3,"akkomiati","akkomiat","-",0,1,"-"
"41","accomodare","accomodo",106,"akkomodo","akkomod","-","are","akkomod","-","accomoda",448,"akkomoda","akkomod","-","accomodiamo",165,"akkomodiamo","akkomod","-","accomodi",716,"akkomodi","akkomod","-",0,1,"-"
"42","accompagnare","accompagno",1286,"akkompaNNo","akkompaNN","NN","are","akkompaNN","NN","accompagna",25980,"akkompaNNa","akkompaNN","NN","accompagniamo",228,"akkompaNNiamo","akkompaNN","NN","accompagni",2403,"akkompaNNi","akkompaNN","NN",0,1,"-"
"43","accomunare","accomuno",34,"akkomuno","akkomun","-","are","akkomun","-","accomuna",5857,"akkomuna","akkomun","-","accomuniamo",13,"akkomuniamo","akkomun","-","accomuni",228,"akkomuni","akkomun","-",0,1,"-"
"44","accontentare","accontento",1763,"akkontento","akkontent","-","are","akkontent","-","accontenta",4403,"akkontenta","akkontent","-","accontentiamo",821,"akkontentiamo","akkontent","-","accontenti",866,"akkontenti","akkontent","-",0,1,"-"
"45","accoppare","accoppo",24,"akkoppo","akkopp","-","are","akkopp","-","accoppa",54,"akkoppa","akkopp","-","accoppiamo",15,"akkoppiamo","akkopp","-","accoppi",28,"akkoppi","akkopp","-",0,1,"-"
"46","accoppiare","accoppio",26,"akkoppio","akkoppi","-","are","akkoppi","-","accoppia",528,"akkoppia","akkoppi","-","accoppiamo",15,"akkoppiamo","akkoppi","-","accoppi",28,"akkoppi","akkopp","-",0,1,"-"
"47","accorciare","accorcio",45,"akkortSo","akkortS","tS","are","akkortS","tS","accorcia",1156,"akkortSa","akkortS","tS","accorciamo",49,"akkortSamo","akkortS","tS","accorci",65,"akkortSi","akkortS","tS",0,1,"-"
"48","accordare","accordo",28,"akkordo","akkord","-","are","akkord","-","accorda",2607,"akkorda","akkord","-","accordiamo",242,"akkordiamo","akkord","-","accordi",226,"akkordi","akkord","-",0,1,"-"
"49","accorpare","accorpo",4,"akkorpo","akkorp","-","are","akkorp","-","accorpa",310,"akkorpa","akkorp","-","accorpiamo",15,"akkorpiamo","akkorp","-","accorpi",44,"akkorpi","akkorp","-",0,1,"-"
"50","accostare","accosto",553,"akkosto","akkost","-","are","akkost","-","accosta",2819,"akkosta","akkost","-","accostiamo",215,"akkostiamo","akkost","-","accosti",428,"akkosti","akkost","-",0,1,"-"
"51","accovacciare","accovaccio",20,"akkovattSo","akkovattS","tS","are","akkovattS","tS","accovaccia",84,"akkovattSa","akkovattS","tS","accovacciamo",5,"akkovattSamo","akkovattS","tS","accovacci",3,"akkovattSi","akkovattS","tS",0,1,"-"
"52","accreditare","accredito",297,"akkredito","akkredit","-","are","akkredit","-","accredita",892,"akkredita","akkredit","-","accreditiamo",16,"akkreditiamo","akkredit","-","accrediti",87,"akkrediti","akkredit","-",0,1,"-"
"53","accucciare","accuccio",26,"akkuttSo","akkuttS","tS","are","akkuttS","tS","accuccia",108,"akkuttSa","akkuttS","tS","accucciamo",4,"akkuttSamo","akkuttS","tS","accucci",10,"akkuttSi","akkuttS","tS",0,1,"-"
"54","accumulare","accumulo",628,"akkumulo","akkumul","-","are","akkumul","-","accumula",2077,"akkumula","akkumul","-","accumuliamo",95,"akkumuliamo","akkumul","-","accumuli",352,"akkumuli","akkumul","-",0,1,"-"
"55","accusare","accuso",541,"akkuso","akkus","-","are","akkus","-","accusa",2984,"akkusa","akkus","-","accusiamo",174,"akkusiamo","akkus","-","accusi",766,"akkusi","akkus","-",0,1,"-"
"56","acquistare","acquisto",208,"akquisto","akquist","-","are","akquist","-","acquista",20754,"akquista","akquist","-","acquistiamo",847,"akquistiamo","akquist","-","acquisti",1924,"akquisti","akquist","-",0,1,"-"
"57","adagiare","adagio",1385,"adadGo","adadG","dG","are","adadG","dG","adagia",738,"adadGa","adadG","dG","adagiamo",46,"adadGamo","adadG","dG","adagi",102,"adadGi","adadG","dG",0,1,"-"
"58","adattare","adatto",843,"adatto","adatt","-","are","adatt","-","adatta",14457,"adatta","adatt","-","adattiamo",148,"adattiamo","adatt","-","adatti",4809,"adatti","adatt","-",0,1,"-"
"59","addebitare","addebito",343,"addebito","addebit","-","are","addebit","-","addebita",602,"addebita","addebit","-","addebitiamo",18,"addebitiamo","addebit","-","addebiti",241,"addebiti","addebit","-",0,1,"-"
"60","addentare","addento",32,"addento","addent","-","are","addent","-","addenta",206,"addenta","addent","-","addentiamo",11,"addentiamo","addent","-","addenti",16,"addenti","addent","-",0,1,"-"
"61","addentrare","addentro",920,"addentro","addentr","-","are","addentr","-","addentra",1047,"addentra","addentr","-","addentriamo",328,"addentriamo","addentr","-","addentri",72,"addentri","addentr","-",0,1,"-"
"62","addestrare","addestro",18,"addestro","addestr","-","are","addestr","-","addestra",522,"addestra","addestr","-","addestriamo",40,"addestriamo","addestr","-","addestri",34,"addestri","addestr","-",0,1,"-"
"63","additare","addito",47,"addito","addit","-","are","addit","-","addita",821,"addita","addit","-","additiamo",24,"additiamo","addit","-","additi",58,"additi","addit","-",0,1,"-"
"64","addobbare","addobbo",25,"addobbo","addobb","-","are","addobb","-","addobba",68,"addobba","addobb","-","addobbiamo",5,"addobbiamo","addobb","-","addobbi",178,"addobbi","addobb","-",0,1,"-"
"65","addolorare","addoloro",8,"addoloro","addolor","-","are","addolor","-","addolora",610,"addolora","addolor","-","addoloriamo",8,"addoloriamo","addolor","-","addolori",20,"addolori","addolor","-",0,1,"-"
"66","addomesticare","addomestico",7,"addomestiko","addomestik","k","are","addomestik","k","addomestica",130,"addomestika","addomestik","k","addomestichiamo",5,"addomestikiamo","addomestik","k","addomestichi",45,"addomestiki","addomestik","k",0,1,"-"
"67","addormentare","addormento",775,"addormento","addorment","-","are","addorment","-","addormenta",1727,"addormenta","addorment","-","addormentiamo",161,"addormentiamo","addorment","-","addormenti",346,"addormenti","addorment","-",0,1,"-"
"69","addossare","addosso",32235,"addosso","addoss","-","are","addoss","-","addossa",283,"addossa","addoss","-","addossiamo",22,"addossiamo","addoss","-","addossi",45,"addossi","addoss","-",0,1,"-"
"70","adeguare","adeguo",434,"adeguo","adegu","-","are","adegu","-","adegua",3768,"adegua","adegu","-","adeguiamo",118,"adeguiamo","adegu","-","adegui",850,"adegui","adegu","-",0,1,"-"
"71","adirare","adiro",26,"adiro","adir","-","are","adir","-","adira",263,"adira","adir","-","adiriamo",10,"adiriamo","adir","-","adiri",133,"adiri","adir","-",0,1,"-"
"72","adocchiare","adocchio",25,"adokkio","adokki","-","are","adokki","-","adocchia",87,"adokkia","adokki","-","adocchiamo",11,"adokkiamo","adokki","-","adocchi",4,"adokki","adokk","k",0,1,"-"
"73","adombrare","adombro",6,"adombro","adombr","-","are","adombr","-","adombra",410,"adombra","adombr","-","adombriamo",3,"adombriamo","adombr","-","adombri",59,"adombri","adombr","-",0,1,"-"
"74","adoperare","adopero",419,"adopero","adoper","-","are","adoper","-","adopera",3096,"adopera","adoper","-","adoperiamo",369,"adoperiamo","adoper","-","adoperi",1023,"adoperi","adoper","-",0,1,"-"
"75","adoprare","adopro",19,"adopro","adopr","-","are","adopr","-","adopra",201,"adopra","adopr","-","adopriamo",15,"adopriamo","adopr","-","adopri",41,"adopri","adopr","-",0,1,"-"
"76","adorare","adoro",9568,"adoro","ador","-","are","ador","-","adora",2964,"adora","ador","-","adoriamo",779,"adoriamo","ador","-","adori",447,"adori","ador","-",0,1,"-"
"77","adottare","adotto",304,"adotto","adott","-","are","adott","-","adotta",21864,"adotta","adott","-","adottiamo",589,"adottiamo","adott","-","adotti",2556,"adotti","adott","-",0,1,"-"
"78","adunare","aduno",22,"aduno","adun","-","are","adun","-","aduna",225,"aduna","adun","-","aduniamo",3,"aduniamo","adun","-","aduni",13,"aduni","adun","-",0,1,"-"
"79","affacciare","affaccio",1058,"affattSo","affattS","tS","are","affattS","tS","affaccia",8922,"affattSa","affattS","tS","affacciamo",118,"affattSamo","affattS","tS","affacci",460,"affattSi","affattS","tS",0,1,"-"
"80","affamare","affamo",4,"affamo","affam","-","are","affam","-","affama",185,"affama","affam","-","affamiamo",4,"affamiamo","affam","-","affami",11,"affami","affam","-",0,1,"-"
"81","affannare","affanno",285,"affanno","affann","-","are","affann","-","affanna",963,"affanna","affann","-","affanniamo",113,"affanniamo","affann","-","affanni",303,"affanni","affann","-",0,1,"-"
"82","affascinare","affascino",11,"affaSSino","affaSSin","-","are","affaSSin","-","affascina",3810,"affaSSina","affaSSin","-","affasciniamo",3,"affaSSiniamo","affaSSin","-","affascini",76,"affaSSini","affaSSin","-",0,1,"-"
"83","affaticare","affatico",54,"affatiko","affatik","k","are","affatik","k","affatica",502,"affatika","affatik","k","affatichiamo",37,"affatikiamo","affatik","k","affatichi",102,"affatiki","affatik","k",0,1,"-"
"84","affermare","affermo",1990,"affermo","afferm","-","are","afferm","-","afferma",96341,"afferma","afferm","-","affermiamo",1174,"affermiamo","afferm","-","affermi",3554,"affermi","afferm","-",0,1,"-"
"85","afferrare","afferro",446,"afferro","afferr","-","are","afferr","-","afferra",3458,"afferra","afferr","-","afferriamo",66,"afferriamo","afferr","-","afferri",225,"afferri","afferr","-",0,1,"-"
"86","affettare","affetto",3212,"affetto","affett","-","are","affett","-","affetta",1337,"affetta","affett","-","affettiamo",6,"affettiamo","affett","-","affetti",2647,"affetti","affett","-",0,1,"-"
"88","affezionare","affeziono",148,"affeziono","affezion","-","are","affezion","-","affeziona",442,"affeziona","affezion","-","affezioniamo",32,"affezioniamo","affezion","-","affezioni",261,"affezioni","affezion","-",0,1,"-"
"89","affiancare","affianco",1443,"affianko","affiank","k","are","affiank","k","affianca",7522,"affianka","affiank","k","affianchiamo",121,"affiankiamo","affiank","k","affianchi",576,"affianki","affiank","k",0,1,"-"
"90","affiatare","affiato",25,"affiato","affiat","-","are","affiat","-","affiata",12,"affiata","affiat","-","affiatiamo",3,"affiatiamo","affiat","-","affiati",8,"affiati","affiat","-",0,1,"-"
"91","affibbiare","affibbio",15,"affibbio","affibbi","-","are","affibbi","-","affibbia",79,"affibbia","affibbi","-","affibbiamo",9,"affibbiamo","affibbi","-","affibbi",16,"affibbi","affibb","-",0,1,"-"
"92","affidare","affido",1876,"affido","affid","-","are","affid","-","affida",15014,"affida","affid","-","affidiamo",1232,"affidiamo","affid","-","affidi",1207,"affidi","affid","-",0,1,"-"
"93","affilare","affilo",23,"affilo","affil","-","are","affil","-","affila",319,"affila","affil","-","affiliamo",11,"affiliamo","affil","-","affili",11,"affili","affil","-",0,1,"-"
"94","affiliare","affilio",6,"affilio","affili","-","are","affili","-","affilia",48,"affilia","affili","-","affiliamo",11,"affiliamo","affili","-","affili",11,"affili","affil","-",0,1,"-"
"95","affinare","affino",18,"affino","affin","-","are","affin","-","affina",874,"affina","affin","-","affiniamo",23,"affiniamo","affin","-","affini",413,"affini","affin","-",0,1,"-"
"96","affittare","affitto",2017,"affitto","affitt","-","are","affitt","-","affitta",1407,"affitta","affitt","-","affittiamo",187,"affittiamo","affitt","-","affitti",1031,"affitti","affitt","-",0,1,"-"
"97","affogare","affogo",94,"affogo","affog","g","are","affog","g","affoga",485,"affoga","affog","g","affoghiamo",26,"affogiamo","affog","g","affoghi",87,"affogi","affog","g",0,1,"-"
"98","affondare","affondo",381,"affondo","affond","-","are","affond","-","affonda",6265,"affonda","affond","-","affondiamo",114,"affondiamo","affond","-","affondi",424,"affondi","affond","-",0,1,"-"
"99","affossare","affosso",11,"affosso","affoss","-","are","affoss","-","affossa",330,"affossa","affoss","-","affossiamo",13,"affossiamo","affoss","-","affossi",71,"affossi","affoss","-",0,1,"-"
"100","affrancare","affranco",20,"affranko","affrank","k","are","affrank","k","affranca",279,"affranka","affrank","k","affranchiamo",9,"affrankiamo","affrank","k","affranchi",80,"affranki","affrank","k",0,1,"-"
"101","affrettare","affretto",237,"affretto","affrett","-","are","affrett","-","affretta",1372,"affretta","affrett","-","affrettiamo",134,"affrettiamo","affrett","-","affretti",257,"affretti","affrett","-",0,1,"-"
"102","affrontare","affronto",736,"affronto","affront","-","are","affront","-","affronta",25036,"affronta","affront","-","affrontiamo",2042,"affrontiamo","affront","-","affronti",2665,"affronti","affront","-",0,1,"-"
"103","agevolare","agevolo",11,"adGevolo","adGevol","-","are","adGevol","-","agevola",2426,"adGevola","adGevol","-","agevoliamo",23,"adGevoliamo","adGevol","-","agevoli",1004,"adGevoli","adGevol","-",0,1,"-"
"104","agganciare","aggancio",311,"aggantSo","aggantS","tS","are","aggantS","tS","aggancia",1236,"aggantSa","aggantS","tS","agganciamo",40,"aggantSamo","aggantS","tS","agganci",186,"aggantSi","aggantS","tS",0,1,"-"
"105","aggiornare","aggiorno",882,"addGorno","addGorn","-","are","addGorn","-","aggiorna",4834,"addGorna","addGorn","-","aggiorniamo",285,"addGorniamo","addGorn","-","aggiorni",539,"addGorni","addGorn","-",0,1,"-"
"106","aggirare","aggiro",228,"addGiro","addGir","-","are","addGir","-","aggira",8677,"addGira","addGir","-","aggiriamo",200,"addGiriamo","addGir","-","aggiri",457,"addGiri","addGir","-",0,1,"-"
"107","aggiudicare","aggiudico",41,"addGudiko","addGudik","k","are","addGudik","k","aggiudica",2709,"addGudika","addGudik","k","aggiudichiamo",13,"addGudikiamo","addGudik","k","aggiudichi",54,"addGudiki","addGudik","k",0,1,"-"
"108","aggiustare","aggiusto",159,"addGusto","addGust","-","are","addGust","-","aggiusta",1110,"addGusta","addGust","-","aggiustiamo",57,"addGustiamo","addGust","-","aggiusti",164,"addGusti","addGust","-",0,1,"-"
"109","aggrappare","aggrappo",207,"aggrappo","aggrapp","-","are","aggrapp","-","aggrappa",1082,"aggrappa","aggrapp","-","aggrappiamo",89,"aggrappiamo","aggrapp","-","aggrappi",116,"aggrappi","aggrapp","-",0,1,"-"
"110","aggravare","aggravo",6,"aggravo","aggrav","-","are","aggrav","-","aggrava",2728,"aggrava","aggrav","-","aggraviamo",14,"aggraviamo","aggrav","-","aggravi",439,"aggravi","aggrav","-",0,1,"-"
"111","aggregare","aggrego",229,"aggrego","aggreg","g","are","aggreg","g","aggrega",1003,"aggrega","aggreg","g","aggreghiamo",51,"aggregiamo","aggreg","g","aggreghi",148,"aggregi","aggreg","g",0,1,"-"
"112","agguantare","agguanto",47,"agguanto","agguant","-","are","agguant","-","agguanta",299,"agguanta","agguant","-","agguantiamo",3,"agguantiamo","agguant","-","agguanti",15,"agguanti","agguant","-",0,1,"-"
"113","agitare","agito",10282,"adGito","adGit","-","are","adGit","-","agita",3746,"adGita","adGit","-","agitiamo",99,"adGitiamo","adGit","-","agiti",603,"adGiti","adGit","-",0,1,"-"
"121","agognare","agogno",24,"agoNNo","agoNN","NN","are","agoNN","NN","agogna",161,"agoNNa","agoNN","NN","agogniamo",6,"agoNNiamo","agoNN","NN","agogni",25,"agoNNi","agoNN","NN",0,1,"-"
"122","aguzzare","aguzzo",52,"aguzzo","aguzz","-","are","aguzz","-","aguzza",226,"aguzza","aguzz","-","aguzziamo",6,"aguzziamo","aguzz","-","aguzzi",60,"aguzzi","aguzz","-",0,1,"-"
"123","aiutare","aiuto",532,"aiuto","aiut","-","are","aiut","-","aiuta",36464,"aiuta","aiut","-","aiutiamo",1203,"aiutiamo","aiut","-","aiuti",8836,"aiuti","aiut","-",0,1,"-"
"124","alienare","alieno",27,"alieno","alien","-","are","alien","-","aliena",591,"aliena","alien","-","alieniamo",12,"alieniamo","alien","-","alieni",109,"alieni","alien","-",0,1,"-"
"125","alimentare","alimento",927,"alimento","aliment","-","are","aliment","-","alimenta",8286,"alimenta","aliment","-","alimentiamo",212,"alimentiamo","aliment","-","alimenti",3306,"alimenti","aliment","-",0,1,"-"
"126","allacciare","allaccio",152,"allattSo","allattS","tS","are","allattS","tS","allaccia",448,"allattSa","allattS","tS","allacciamo",23,"allattSamo","allattS","tS","allacci",122,"allattSi","allattS","tS",0,1,"-"
"127","allagare","allago",12,"allago","allag","g","are","allag","g","allaga",256,"allaga","allag","g","allaghiamo",5,"allagiamo","allag","g","allaghi",25,"allagi","allag","g",0,1,"-"
"128","allargare","allargo",206,"allargo","allarg","g","are","allarg","g","allarga",7931,"allarga","allarg","g","allarghiamo",328,"allargiamo","allarg","g","allarghi",613,"allargi","allarg","g",0,1,"-"
"129","allarmare","allarmo",44,"allarmo","allarm","-","are","allarm","-","allarma",693,"allarma","allarm","-","allarmiamo",16,"allarmiamo","allarm","-","allarmi",630,"allarmi","allarm","-",0,1,"-"
"130","allattare","allatto",123,"allatto","allatt","-","are","allatt","-","allatta",631,"allatta","allatt","-","allattiamo",9,"allattiamo","allatt","-","allatti",62,"allatti","allatt","-",0,1,"-"
"131","alleare","alleo",25,"alleo","alle","-","are","alle","-","allea",669,"allea","alle","-","alleiamo",21,"alleiamo","alle","-","allei",60,"allei","alle","-",0,1,"-"
"132","allegare","allego",1796,"allego","alleg","g","are","alleg","g","allega",4539,"allega","alleg","g","alleghiamo",660,"allegiamo","alleg","g","alleghi",236,"allegi","alleg","g",0,1,"-"
"133","allenare","alleno",1073,"alleno","allen","-","are","allen","-","allena",3007,"allena","allen","-","alleniamo",284,"alleniamo","allen","-","alleni",787,"alleni","allen","-",0,1,"-"
"134","allentare","allento",52,"allento","allent","-","are","allent","-","allenta",672,"allenta","allent","-","allentiamo",20,"allentiamo","allent","-","allenti",129,"allenti","allent","-",0,1,"-"
"135","allertare","allerto",5,"allerto","allert","-","are","allert","-","allerta",255,"allerta","allert","-","allertiamo",6,"allertiamo","allert","-","allerti",44,"allerti","allert","-",0,1,"-"
"136","allevare","allevo",190,"allevo","allev","-","are","allev","-","alleva",931,"alleva","allev","-","alleviamo",85,"alleviamo","allev","-","allevi",123,"allevi","allev","-",0,1,"-"
"137","alleviare","allevio",5,"allevio","allevi","-","are","allevi","-","allevia",478,"allevia","allevi","-","alleviamo",85,"alleviamo","allevi","-","allevi",123,"allevi","allev","-",0,1,"-"
"138","allietare","allieto",14,"allieto","alliet","-","are","alliet","-","allieta",482,"allieta","alliet","-","allietiamo",8,"allietiamo","alliet","-","allieti",63,"allieti","alliet","-",0,1,"-"
